fit_model_type,model_parameter,subject,bootstrap_num,fit_value
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,72,-0.010200956836342813
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,72,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,72,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,72,-0.010422487743198872
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,72,-0.026678813621401787
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,72,-0.01525359507650137
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,72,0.031770478934049606
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,72,0.06385883688926698
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,72,0.4453853070735931
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,17,3.1577911376953125
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,17,0.022520799189805984
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,17,-0.007704927120357752
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,17,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,17,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,17,0.018555352464318275
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,17,-0.03628654032945633
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,17,0.003534633666276932
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,17,0.02453614398837089
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,17,0.0621766597032547
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,17,0.4228134453296661
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,15,3.3165926933288574
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,15,0.01745779439806938
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,15,-0.01120250578969717
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,15,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,15,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,15,-0.032636579126119614
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,15,-0.026235340163111687
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,15,-0.03615133464336395
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,15,-0.002754474524408579
